index,pe_ratio,pb_ratio,market_cap,return_on_asset_net_profit,du_return_on_equity,ev,earnings_per_share,revenue,total_expense,date,return
344,600297.XSHG,-761.2063,2.8003,2257500000.0,0.2762,0.6269,3853962529.37,0.0144,677118452.68,681222793.64,2012-02-29,-0.11317398901647535
345,600309.XSHG,14.735999999999999,4.4154,32089047245.0,13.969000000000001,23.4568,41428325676.0,0.71,10509011428.0,8192119490.58,2012-02-29,-0.1192785181659527
346,600340.XSHG,5.6372,4.6506,12958341742.0,5.8811,66.1488,32664901147.1,2.19,7790006804.62,6046169588.55,2012-02-29,-0.01815367606412374
347,600352.XSHG,12.1914,1.4761,9955860005.0,4.7907,10.7142,20180688902.5,0.4692,6188537909.9,5677642752.82,2012-02-29,-0.07376674289447893
348,600369.XSHG,-75.1692,2.1255,21042344332.0,0.9572,1.8066,32601570764.9,0.09,698581043.09,608138808.8,2012-02-29,-0.05628415300546436
349,600372.XSHG,52.4629,6.7426,23484156706.0,4.1892,8.3964,27740212649.3,0.32,2607228423.59,2296031479.95,2012-02-29,-0.15780214927130873
350,600373.XSHG,17.7159,2.8532,10868414545.0,7.585,11.7593,10101354598.5,0.75,3451114563.86,3149584541.19,2012-02-29,-0.15448688682595246
351,600376.XSHG,7.2226,1.446,17398017000.0,0.6819,3.1457,54071516981.2,0.25,2101925737.02,2318963571.53,2012-02-29,0.003427812089455249
352,600383.XSHG,7.7639,1.2561,25934749718.0,0.6583,2.6831,89624682029.8,0.11,6496176515.81,5725712937.71,2012-02-29,0.03276978922246961
353,600390.XSHG,-10.7358,4.02,2167077000.0,-6.641,-14.9267,2599088095.32,-0.54,1259446049.18,1368548921.43,2012-02-29,-0.08050221565731168
354,600406.XSHG,29.9441,12.1653,35659683229.0,15.7988,30.9476,35830153966.7,0.54,4660016950.72,3831184229.58,2012-02-29,-0.07010267130017334
355,600415.XSHG,48.6117,3.0071,23487469169.0,3.4476,7.5729999999999995,33213054639.1,0.21,2408867159.52,1700693411.9,2012-02-29,-0.15758178877969894
356,600436.XSHG,31.0515,8.5121,9800000000.0,12.8685,17.7691,8845660090.08,1.38,748436762.19,522811518.23,2012-02-29,-0.013289345003032893
357,600482.XSHG,48.1347,3.6681,4333400000.0,1.6273,4.3393,7375992274.18,0.11,3213977347.13,3159099518.08,2012-02-29,-0.05106591255166413
358,600485.XSHG,368.6567,2.7635,1355371080.0,0.3192,0.5041,2035899210.01,0.017,182013848.38,181750305.77,2012-02-29,-0.08078005835082147
359,600489.XSHG,19.2966,5.4664,46895445491.0,11.0412,20.1031,51793168958.4,0.72,22077562412.7,19588278492.7,2012-02-29,-0.1422591256732619
360,600498.XSHG,24.1953,3.1989,12429645113.0,3.8755,8.6064,17267180797.4,0.71,4643443858.48,4446362972.73,2012-02-29,-0.049114674367353145
361,600518.XSHG,21.5873,3.0224,27945661079.0,5.6848,9.2811,36535451788.6,0.299,4272739873.2,3470976301.44,2012-02-29,-0.0007864529299555893
362,600519.XSHG,17.0152,8.4936,212266282800.0,23.7021,31.8919,205800562683.0,6.33,13642075480.1,4362971847.48,2012-02-29,-0.03668209056812604
363,600522.XSHG,27.8402,1.7159,7456003027.0,6.4125,11.1701,8543046646.74,0.5589999999999999,4873970523.76,4455333585.18,2012-02-29,-0.07718276781564197
364,600535.XSHG,26.0446,5.5741,20088789620.0,9.5492,15.3388,22547542205.6,1.01,4761055734.4,4237410286.63,2012-02-29,-0.08920264871668576
365,600547.XSHG,20.7521,9.4485,53578676161.0,16.7003,36.2244,59607111767.7,1.1889,31433375580.3,29092486678.2,2012-02-29,-0.12908369579759885
366,600549.XSHG,15.1449,7.4468,25621988600.0,10.9039,30.7985,32943795578.5,1.3281,9767492350.92,7846581310.6,2012-02-29,0.09688673890329044
367,600570.XSHG,26.506,6.3144,7690842432.0,7.082999999999999,10.4672,8857976700.9,0.171,557557093.46,487914676.59,2012-02-29,-0.010549226945977956
368,600583.XSHG,84.9104,2.4962,23570006400.0,-0.5153,-1.012,30955642245.4,-0.02,4315266027.23,4411281909.18,2012-02-29,-0.08252015656283264
369,600588.XSHG,20.4653,5.1347,15175802626.0,1.7437,3.5984,19871253242.7,0.111,2236905267.0,2202500934.0,2012-02-29,0.009677808373364537
370,600606.XSHG,14.5266,1.2426,2606409590.0,2.4812,6.0919,5896376095.0,0.244,460443503.41,418360901.32,2012-02-29,-0.10984824161476066
371,600637.XSHG,41.4601,7.2442,18755315503.0,1.6403,2.8202,10240094448.6,0.0582,958604391.68,696579597.09,2012-02-29,-0.13717055141141987
372,600649.XSHG,11.2109,1.2153,15121465192.0,3.6153,7.4505,26669798964.3,0.39,2687870142.25,2124823091.15,2012-02-29,-0.06382751171097945
373,600660.XSHG,14.2439,2.8285,17626279722.0,10.3551,19.9104,23988384317.3,0.58,7101029788.0,5811567161.0,2012-02-29,-0.08976917803001445
374,600663.XSHG,28.9699,2.0761,22542945880.0,4.47,9.5896,32806301986.8,0.5436,3239719786.15,2030707272.89,2012-02-29,-0.06711128967456813
375,600674.XSHG,31.738000000000003,1.8344,11400303602.0,3.6003,6.2869,17771990584.9,0.3957,884145019.53,729367357.85,2012-02-29,-0.06710200405314108
376,600682.XSHG,30.9783,2.6168,2920321733.0,1.8545,4.9955,4729482908.37,0.15,1291117569.78,1209182044.01,2012-02-29,0.01840600428877777
377,600690.XSHG,8.9701,3.3783,28166987895.0,8.2353,28.3614,51294864925.2,0.8420000000000001,56997111693.0,53935280816.6,2012-02-29,-0.01906107367963484
378,600703.XSHG,12.9487,3.3215,18815499501.0,13.7415,17.7899,19505787718.7,0.65,1747311965.64,1227629588.83,2012-02-29,-0.14361796907481844
379,600704.XSHG,11.4989,1.9036,6376826924.0,3.0476,13.0462,24607681882.9,0.6226,26189090446.9,25405061934.5,2012-02-29,0.03201782996303554
380,600739.XSHG,6.1363,2.0737,19938410412.0,18.1868,23.9468,23803629081.2,1.4968,6199641829.04,5651246740.44,2012-02-29,0.09308426401531313
381,600741.XSHG,7.9294,1.6404,27175265841.0,10.5662,14.9581,43056365380.4,0.887,39480242542.7,36112670431.2,2012-02-29,-0.04942125271762237
382,600795.XSHG,8.7325,1.5519999999999998,42489014828.0,1.6977,8.01,165192754281.0,0.135,36896874822.4,34994940058.3,2012-02-29,-0.0652354570637118
383,600804.XSHG,54.0569,2.4846,8780641849.0,3.3668,4.3757,11234631133.0,0.11,1599996293.56,1415040308.86,2012-02-29,-0.06097099621689786
384,600816.XSHG,26.039,15.6931,7747112813.0,24.4067,45.9572,6479876679.27,0.4296,485006465.51,230775225.25,2012-02-29,-0.14302637538761712
385,600820.XSHG,12.6683,1.2583,6095562394.0,1.4962,6.8388,22326242104.6,0.42,11686034963.9,11699175155.0,2012-02-29,-0.0782371211309842
386,600827.XSHG,12.765,2.0262,22254645116.0,4.5488,11.5327,46335054009.4,0.682,35316872229.0,33780355629.5,2012-02-29,-0.0727567324021766
387,600837.XSHG,29.2567,1.6497,73721277773.0,2.6702,6.1132,117964509578.0,0.33,6949525753.13,3248396931.32,2012-02-29,0.005578766281641776
388,600886.XSHG,1041.9049,1.2793,14680343221.0,0.6709,3.6376,105695982583.0,0.1673,17440612504.8,16477615714.4,2012-02-29,-0.057490374518726024
389,600887.XSHG,12.9354,6.1012,36752860045.0,10.3845,35.3281,45082151151.5,1.13,37451372248.7,35959190702.9,2012-02-29,-0.041323781895684135
390,600893.XSHG,53.9,4.1698,16659574778.0,2.089,4.684,19922707041.4,0.17,4789308666.11,4576401164.83,2012-02-29,-0.0660550212420384
391,600895.XSHG,26.8637,1.9436,12234647445.0,0.3192,0.5995,23765895967.3,0.02,815230379.6,796830833.7,2012-02-29,-0.060748933394929185
392,600900.XSHG,15.0172,1.5789,107745000000.0,3.9727,9.555,196052314533.0,0.3835,15839292168.1,9653406377.63,2012-02-29,-0.0015360983102919053
393,600999.XSHG,71.1833,2.3309,56073030943.0,2.2818,7.6612,93862728401.3,0.3984,4245004306.6,1881393282.42,2012-02-29,-0.05652954361554696
394,601006.XSHG,8.7233,1.8031,113284951161.0,9.4583,15.7744,138058233974.0,0.62,33270504198.0,22597383300.0,2012-02-29,-0.022314422296383057
395,601009.XSHG,6.9745,1.3271,28679894654.0,0.9729,11.9318,265784636283.0,0.79,5269932544.25,2426120717.23,2012-02-29,-0.09006412332404956
396,601018.XSHG,12.5787,1.3747,34432000000.0,5.6282,7.9737,43998858000.0,0.15,5144634000.0,3449556000.0,2012-02-29,-0.0854974201526587
397,601099.XSHG,100.2757,5.1944,10989220581.0,2.1634,6.0429,14750807245.2,0.081,550442270.88,373939873.74,2012-02-29,-0.07388530075480497
398,601117.XSHG,10.8289,2.1836,33248420000.0,3.7964,9.998,59940141953.6,0.28,28584012574.3,26807593037.6,2012-02-29,-0.1320470256138831
399,601118.XSHG,33.5044,3.4977,31803178244.0,5.7621,8.2074,36685164084.1,0.1807,7360835424.88,6527634483.62,2012-02-29,-0.17058704248200335
400,601166.XSHG,4.7509,1.3425,154353543328.0,0.9557,18.8962,2109892633950.0,1.74,41087000000.0,16439000000.0,2012-02-29,-0.06917787664887852
401,601169.XSHG,6.0139,1.3235,66697187746.0,0.9743,17.1367,870782553162.0,1.25,15008708000.0,5019552000.0,2012-02-29,-0.08309777985125825
402,601216.XSHG,16.885,2.2669,11347200000.0,8.2737,14.9585,14498890326.7,0.7833,2841228959.01,2315399962.94,2012-02-29,-0.09758209551721846
403,601377.XSHG,297.3284,3.0423,24816000000.0,1.9521,4.8766,40650559463.1,0.1862,1792924631.15,1124455503.18,2012-02-29,-0.15072347266881028
404,601555.XSHG,-146.8529,2.247,16560000000.0,1.2856,5.3312,10615087404.2,0.15,921942200.48,627181924.52,2012-02-29,-0.13646682488907233
405,601668.XSHG,5.5007,1.101,98100000000.0,3.1068,11.8265,455458892000.0,0.32,347139842000.0,330053219000.0,2012-02-29,-0.06725006434533222
406,601669.XSHG,9.9392,1.5776,43008000000.0,2.07,13.783,127684649912.0,0.39,77604834367.0,74273976691.7,2012-02-29,-0.07812299561279729
407,601688.XSHG,349.6806,1.6777,50288000000.0,1.3766,4.0387,104428527604.0,0.24,4341811673.32,2543546407.58,2012-02-29,-0.022277010875686874
408,601718.XSHG,19.1863,1.504,14000910000.0,3.7272,6.0091,20272885892.0,0.14,18430800881.6,17815103873.4,2012-02-29,-0.055104878896743516
409,601788.XSHG,46.5277,1.9604,41357800000.0,2.6056,6.1963,67228677313.6,0.4,3519945982.57,1792572625.41,2012-02-29,-0.01074382386938962
410,601818.XSHG,5.3345,1.2992,124539153200.0,0.8972,16.4154,1690341240500.0,0.35,33864644000.0,14974219000.0,2012-02-29,-0.07467371551296863
411,601872.XSHG,-38.6121,1.1968,11227210410.0,1.2247,2.0814,18475058761.7,0.0583,2065380265.53,1918890905.01,2012-02-29,-0.09480915495426034
412,601877.XSHG,15.1239,3.3197,15276000000.0,9.4408,14.2841,18708165641.3,0.62,7210108467.27,6312990307.36,2012-02-29,0.013157193274264593
413,601888.XSHG,24.7835,5.0845,23795200000.0,9.5381,12.8348,24181789608.5,0.6327,9024918199.77,8240386993.88,2012-02-29,-0.055471082714230464
414,601901.XSHG,-39.9583,2.086,29341000000.0,0.7845,1.9149,51264469990.4,0.05,1299054439.72,1013845956.23,2012-02-29,-0.13097075722493784
415,601933.XSHG,37.8023,5.8396,23758826000.0,5.2015,9.3306,23163714670.7,0.48,12474297901.6,12006047152.4,2012-02-29,-0.03394497990839352
416,601958.XSHG,69.8913,3.3073,44494874676.0,3.4829,3.7683,49362258100.8,0.16,5661327167.22,4985687166.74,2012-02-29,-0.07614354708678979
417,601989.XSHG,17.4332,2.2569999999999997,88739624301.0,2.8561,11.4416,215506539959.0,0.47,47103852071.9,42626100596.9,2012-02-29,-0.07272353052158557
418,000001.XSHE,5.6243,1.1157,80487835035.0,1.0467,19.3011,1255182171990.0,2.47,29643061000.0,16510360000.0,2012-03-30,0.0
419,000002.XSHE,7.6078,1.7188,91040340605.0,4.5325,19.8042,304844317972.0,0.88,71782749800.7,56716379546.6,2012-03-30,0.0
420,000008.XSHE,-351.0767,9.3536,690867091.0,-0.6953,-0.7277,516584997.84,0.22,310424307.68,271317987.23,2012-03-30,0.0
421,000060.XSHE,14.9907,3.3798,17906326838.0,7.644,19.2519,23470108773.9,0.46,18669052308.8,17097699522.0,2012-03-30,0.0
422,000069.XSHE,11.8285,2.4071,39210157656.0,5.9053,21.5361,83363087756.1,0.4369,17324174032.8,13357970043.7,2012-03-30,0.0
423,000100.XSHE,10.8491,1.5295,17291486421.0,2.6214,9.39,69004306654.6,0.1195,60834136000.0,59927074000.0,2012-03-30,0.0
424,000402.XSHE,8.4661,1.0529,19070602797.0,3.2233,10.3965,56511787330.1,0.6,7303544153.27,5440677926.67,2012-03-30,0.0
425,000413.XSHE,215.8334,20.5933,4787500000.0,3.2405,5.2307,3688567992.99,0.03,104425459.95,89559250.79,2012-03-30,0.0
426,000415.XSHE,18.733,1.2770000000000001,9031223070.0,2.4316,5.3231,18456440671.3,0.4563,2062786138.92,1453559372.07,2012-03-30,0.0
427,000423.XSHE,23.3341,7.702000000000001,26370148372.0,22.2457,27.7653,28626570832.2,1.3091,2758848253.77,1785710748.62,2012-03-30,0.0
428,000425.XSHE,7.2637,1.8336,27764724753.0,9.9592,21.1151,53846101659.4,1.37,25233044684.7,21955101570.5,2012-03-30,0.0
429,000503.XSHE,218.322,4.2211,5204180561.0,0.1796,0.3275,6249917784.47,0.0045,99694183.97,135382267.29,2012-03-30,0.0
430,000538.XSHE,22.8474,6.1512,34171796096.0,14.4811,24.2936,40208905732.0,1.74,11312322432.0,9956426371.45,2012-03-30,0.0
431,000540.XSHE,20.7532,4.7718,10281650828.0,2.3934,17.664,22467665936.4,0.2538,2004355082.02,1749636830.11,2012-03-30,0.0
432,000559.XSHE,17.9841,2.3487,9081602372.0,6.0345,12.196,13383726809.0,0.301,8318004995.04,7834984043.77,2012-03-30,0.0
433,000568.XSHE,15.1189,7.6024,54500821117.0,24.1712,34.1465,56573570954.2,1.44,5628271589.15,2856713520.1,2012-03-30,0.0
434,000623.XSHE,5.7662,1.7438,15721475537.0,20.7774,23.1428,18804075329.3,2.7168,809481664.08,690911564.42,2012-03-30,0.0
435,000625.XSHE,-206.0487,1.3857,20423441153.0,2.7517,7.0257,37217163392.5,0.19,19606549988.7,20002232604.2,2012-03-30,0.0
436,000627.XSHE,-16.9425,2.8523,3925410611.0,-2.728,-3.1988,5262950195.63,-0.036000000000000004,797135024.42,832484948.18,2012-03-30,0.0
437,000630.XSHE,13.7555,2.698,26939447098.0,4.6669,16.9574,44879917158.7,1.02,70740641187.8,69100816959.8,2012-03-30,0.0
438,000651.XSHE,9.8658,3.4731,61149904375.0,4.9914,25.6552,125069492621.0,1.3388,64074612708.6,61158359767.8,2012-03-30,0.0
439,000671.XSHE,67.8616,2.1572,4330924804.0,0.8814,5.9695,11761758216.0,0.19,1828169582.43,1706703767.9,2012-03-30,0.0
440,000686.XSHE,-11.380999999999998,3.0863,9449037981.0,-0.9405,-4.6268,17282017178.4,-0.24,809643896.26,988001263.76,2012-03-30,0.0
441,000709.XSHE,29.572,0.7158,30581589217.0,0.8678,2.8371,99804099745.6,0.15,107770205166.0,106446201521.0,2012-03-30,0.0
442,000723.XSHE,72.1069,4.5014,2121907764.0,3.7628,6.7973,2643902662.49,0.23,1211363701.77,1164178657.88,2012-03-30,0.0
443,000725.XSHE,7.5707,0.9248,23662699097.0,-3.8791,-8.9859,59972852071.9,-0.16,8514636554.0,10928202542.0,2012-03-30,0.0
444,000728.XSHE,99.456,1.3519,19935615000.0,2.3694,3.7792,24222688271.0,0.29,1775119765.54,1078080892.28,2012-03-30,0.0
445,000738.XSHE,48.3079,3.7526,9296387482.0,3.2868,5.6005,12090522078.9,0.1412,1350949551.65,1208450823.91,2012-03-30,0.0
446,000750.XSHE,-39.5158,4.7056,12077753599.0,1.974,2.8891,16163489949.5,0.05,1270544402.3,1119632606.68,2012-03-30,0.0
447,000768.XSHE,-146.9721,2.0279,19077661988.0,0.6449,1.1533,28815376269.6,0.15,13147436447.4,12731920988.3,2012-03-30,0.0
448,000776.XSHE,801.5667,2.5837,80443170996.0,1.7866,6.13,136014621813.0,0.61,4325459005.79,2377388304.37,2012-03-30,0.0
449,000783.XSHE,-49.6031,1.8034,20487460369.0,1.0097,3.1584,38751827912.8,0.14,1337998541.45,967274968.36,2012-03-30,0.0
450,000792.XSHE,18.8335,3.7099,50737243576.0,10.3733,19.9274,65063598827.6,1.7917,6777563100.5,4063344654.8,2012-03-30,0.0
451,000826.XSHE,22.9396,5.7503,9057452870.0,5.8911,13.970999999999998,12253603099.7,0.462,1024996030.27,798413138.46,2012-03-30,0.0
452,000839.XSHE,390.8897,2.1751,12621840855.0,1.4902,2.5131,15275396795.0,0.0933,1771709646.27,2006770784.44,2012-03-30,0.0
453,000858.XSHE,15.7406,5.3919,124659547085.0,19.5012,29.8756,134639370333.0,1.6219999999999999,20350594468.7,11853596549.1,2012-03-30,0.0
454,000876.XSHE,7.5361,3.0257,29001705791.0,7.4287,14.0505,20968360549.5,1.03,50764868718.2,49120061669.7,2012-03-30,0.0
455,000895.XSHE,-1419.192,11.3408,41753048610.0,8.5851,15.3668,45371051973.1,1.21,35831824609.2,34187111640.2,2012-03-30,0.0
456,000938.XSHE,48.8281,3.2215,2580121600.0,1.6298,4.2112,3529790114.27,0.162,3644404043.75,3629839989.02,2012-03-30,0.0
457,000959.XSHE,-24.7433,1.0636,8068950875.0,0.0867,2.0863,21615136271.8,0.0549,9502575535.22,9992265480.22,2012-03-30,0.0
458,000961.XSHE,11.0607,2.2868,12425809365.0,2.4954,13.1395,31471593062.6,0.55,7903065272.29,7025337345.32,2012-03-30,0.0
459,000963.XSHE,24.2517,7.0694,10808093776.0,9.6255,28.3907,15432275671.2,0.88,11131372422.8,10529566396.9,2012-03-30,0.0
460,000983.XSHE,15.4897,3.3172,46259616000.0,8.8914,21.1767,66959755685.4,0.8934,30372415725.9,26268509122.2,2012-03-30,0.0
461,002007.XSHE,102.1363,5.5696,13183565824.0,11.9395,13.7822,12957134001.1,0.535,738447615.67,363505122.7,2012-03-30,0.0
462,002008.XSHE,9.3698,2.6083,7321220166.0,5.7164,11.6348,11923045459.0,0.2756,2673513831.05,2362243445.18,2012-03-30,0.0
463,002024.XSHE,12.1173,3.055,68213065694.0,7.0214,17.3106,105525576525.0,0.4892,67625499000.0,63105122000.0,2012-03-30,0.0
464,002027.XSHE,-10.2948,2.031,1227480571.0,0.1718,0.257,1805997930.82,0.0056,947381266.9,941843709.87,2012-03-30,0.0
465,002044.XSHE,21.9208,5.4775,2074312500.0,11.7049,16.677,2247242668.43,0.26,776359138.99,698699467.74,2012-03-30,0.0
466,002065.XSHE,20.9231,4.8407,10975785920.0,9.892999999999999,14.5688,11373623438.7,0.5093,1606056451.02,1335501978.86,2012-03-30,0.0
467,002074.XSHE,35.5988,3.7553,1621555200.0,5.7557,10.5459,2441487011.21,0.18,493069178.84,440614415.3,2012-03-30,0.0
468,002081.XSHE,18.8304,6.517,20279007067.0,9.7896,31.9623,21684655943.0,0.9086,6432177806.42,5839048120.1,2012-03-30,0.0
469,002142.XSHE,6.3188,1.4131,26444634251.0,1.0298,15.1654,240797776509.0,0.89,5706374000.0,2764872000.0,2012-03-30,0.0
470,002146.XSHE,9.432,3.1403,19270451200.0,6.1849,28.1244,36525974587.5,0.82,9501697850.13,7527438827.48,2012-03-30,0.0
471,002153.XSHE,27.1327,7.7987,8528620800.0,23.1272,26.8672,8020409910.28,0.85,720871724.09,459934504.5,2012-03-30,0.0
472,002174.XSHE,-175.0677,5.1179,1168623487.0,0.1001,0.77,1344172473.18,0.021,226840813.26,228325157.3,2012-03-30,0.0
473,002230.XSHE,55.1711,7.6958,9054614856.0,6.4937,7.8906,7670455233.62,0.28,342597396.99,285178588.37,2012-03-30,0.0
474,002236.XSHE,27.0707,8.9106,13418185632.0,18.5614,28.2185,14497331409.3,0.68,2205208207.08,1870266206.55,2012-03-30,0.0
475,002241.XSHE,25.0179,9.3496,19503567173.0,12.5641,28.3838,21406888919.4,0.7,4077000282.02,3442373221.06,2012-03-30,0.0
476,002252.XSHE,32.3552,7.6129999999999995,6963200000.0,20.5634,23.0464,6548140113.62,0.41,567385772.05,332487329.98,2012-03-30,0.0
477,002292.XSHE,69.498,6.7223,9273344000.0,5.7157,6.7608,7207363453.14,0.22,727006274.15,623049692.79,2012-03-30,0.0
478,002294.XSHE,22.0145,4.6995,10020688000.0,17.5518,20.285,9032780709.17,0.93,1474884526.25,1009118281.65,2012-03-30,0.0
479,002304.XSHE,22.6876,13.39,132435000000.0,22.9515,37.134,127056431081.0,3.24,9697320356.4,5655841725.15,2012-03-30,0.0
480,002310.XSHE,21.2719,7.2877,13645150998.0,13.5919,22.8921,14699468220.1,2.29,1965187858.05,1566421577.31,2012-03-30,0.0
481,002352.XSHE,26.7122,2.1966,1578408218.0,3.2224,4.3585,2073680968.64,0.4,470163824.47,438363251.57,2012-03-30,0.0
482,002385.XSHE,20.0717,4.0167,13975896000.0,12.0224,15.3559,13933914573.8,0.63,7835999796.19,7232577704.99,2012-03-30,0.0
483,002411.XSHE,28.6092,3.179,2458998000.0,5.2652,5.4527,3020826515.22,0.17,770044002.13,712509134.65,2012-03-30,0.0
484,002415.XSHE,22.301,6.2558,42600000000.0,12.7014,14.6805,40368127810.4,0.87,3453156822.06,2470651269.54,2012-03-30,0.0
485,002424.XSHE,25.4517,3.4377,6580896000.0,4.5786,6.8463,8407405957.77,0.27,701417429.65,554485320.02,2012-03-30,0.0
486,002426.XSHE,1453.9937,2.1408,2774841300.0,3.7132,5.2927,4088639981.93,0.1697,1115660255.45,1062257040.89,2012-03-30,0.0
487,002450.XSHE,41.8145,7.7914,8005017600.0,8.5786,13.64,8172476886.87,0.25,1526021238.48,1361799025.74,2012-03-30,0.0
488,002456.XSHE,-396.1828,4.3455,4227840000.0,-1.4387,-2.6004,4688450853.06,-0.13,648674946.38,677435315.07,2012-03-30,0.0
489,002460.XSHE,51.5283,4.6923,3397500000.0,6.6092,7.5495,3197169770.64,0.36,474978594.99,416686866.1,2012-03-30,0.0
490,002465.XSHE,35.4084,1.8658,7976831175.0,2.5843,2.9048,8694467710.3,0.3679,658569640.25,549797985.66,2012-03-30,0.0
491,002466.XSHE,101.7065,4.2954,4227720000.0,3.7034,4.1512,4088187810.61,0.27,402733165.74,362513611.6,2012-03-30,0.0
492,002468.XSHE,-31.0402,2.4028,1824000000.0,0.7376,1.3762,2513000529.23,0.05,1057038256.57,1062659868.5,2012-03-30,0.0
493,002470.XSHE,16.9727,3.076,9492000000.0,8.8706,15.0371,11265931536.0,0.62,7626786481.41,7087322970.89,2012-03-30,0.0
494,002475.XSHE,20.276,4.3916,8081700000.0,13.8564,14.7823,10111500607.8,0.7,2555567715.02,2142231727.61,2012-03-30,0.0
495,002500.XSHE,-295.3518,2.5931,15478710000.0,0.8005,2.2936,28146131862.0,0.06,764146400.0,593553103.0,2012-03-30,0.0
496,002508.XSHE,18.1816,2.8854,4357120000.0,10.3775,12.9807,4477849449.3,0.73,1533887592.05,1324334166.18,2012-03-30,0.0
497,002555.XSHE,43.1225,1.8125,1386900000.0,6.5624,8.5893,1570649266.68,0.32,338147326.91,306830598.72,2012-03-30,0.0
498,002558.XSHE,28.3488,2.3688,1397655000.0,9.9908,11.7911,1389228899.41,0.78,322148342.67,275219517.82,2012-03-30,0.0
499,002572.XSHE,22.9805,2.9742,4055300000.0,14.5855,17.0759,4522298361.83,0.66,1003596349.09,840871210.14,2012-03-30,0.0
500,002601.XSHE,14.9706,4.1365,8342500000.0,16.0068,27.3354,8390870389.73,4.32,1510362207.38,1126040681.21,2012-03-30,0.0
501,002602.XSHE,19.9803,1.6069,2479750000.0,9.5175,12.6759,3363782564.41,0.88,745992572.11,605838766.87,2012-03-30,0.0
502,002608.XSHE,20.7309,1.5531,3072300000.0,3.6252,10.8872,6726447058.26,1.43,1953159642.57,1756742374.55,2012-03-30,0.0
503,002624.XSHE,24.2601,2.8793,1400000000.0,12.3847,23.1718,197559732.15,0.66,332677250.53,285246943.45,2012-03-30,0.0
504,300003.XSHE,19.9426,4.5637,10685920000.0,20.2656,21.469,11165102205.0,0.5827,919846240.19,387078914.13,2012-03-30,0.0
505,300015.XSHE,38.3732,6.2725,8578176000.0,10.2975,13.0022,10893179662.7,0.4,1310624472.34,1068350274.35,2012-03-30,0.0
506,300017.XSHE,34.3883,3.1403,2447380719.0,6.7658,7.2148,2074382364.53,0.35,542142099.45,488544536.59,2012-03-30,0.0
507,300024.XSHE,24.0461,4.2827,5084032800.0,11.1411,14.3322,5649031649.94,0.54,783560295.36,660155154.87,2012-03-30,0.0
508,300027.XSHE,32.5273,4.9465,8346240000.0,9.1591,12.527000000000001,10244797250.8,0.34,892383406.7,653546488.04,2012-03-30,0.0
509,300033.XSHE,66.7901,1.9233,2150400000.0,4.0142,4.5664,2717977058.33,0.37,167909628.35,118080013.56,2012-03-30,0.0
510,300059.XSHE,28.5614,2.4578,4179000000.0,6.0782,6.4303,4148292910.01,0.32,280308218.79,170605529.44,2012-03-30,0.0
511,300070.XSHE,23.9369,3.7553,12256860000.0,9.5062,11.1152,14378756255.8,0.63,1026008242.5,659142420.22,2012-03-30,0.0
512,300072.XSHE,26.578000000000003,3.0875,3525064800.0,5.6713,8.6305,3726120775.6,0.25,600577390.19,488027493.33,2012-03-30,0.0
513,300122.XSHE,63.391999999999996,3.8174,8620000000.0,8.5133,8.927,10960030335.9,0.49,628740039.4,440883225.68,2012-03-30,0.0
514,300124.XSHE,21.9052,4.0227,10072080000.0,13.4915,14.1746,11829628500.3,0.87,1054026834.36,701805922.96,2012-03-30,0.0
515,300136.XSHE,23.4066,3.5632,2404120200.0,11.2043,11.6616,2446886494.44,0.5658,162976630.43,79980599.28,2012-03-30,0.0
516,300144.XSHE,27.9797,2.9082,7865088000.0,7.3876,8.4863,9670402217.16,0.4,504532175.14,223844591.1,2012-03-30,0.0
517,300251.XSHE,27.1738,3.6282,6488320000.0,15.2823,17.4047,6738327089.54,0.85,697925090.26,486994028.63,2012-03-30,0.0
518,600000.XSHG,4.7062,1.1194,166575499736.0,1.122,20.0715,2680143448310.0,1.463,67918000000.0,32161000000.0,2012-03-30,0.0
519,600008.XSHG,19.223,2.0079,10824000000.0,1.974,5.1517,21623828218.2,0.1198,1855861893.47,1577820959.16,2012-03-30,0.0
520,600009.XSHG,14.7447,1.6208,24896303148.0,8.8693,10.1965,26607369528.1,0.78,4611211636.06,3235233721.03,2012-03-30,0.0
521,600010.XSHG,55.0722,2.9646,38220679771.0,1.0779,3.8675,63493259430.9,0.08,42814922834.1,42158308572.1,2012-03-30,0.0
522,600015.XSHG,5.9013,1.15,73497557576.0,0.8073,18.5558,1250142631230.0,1.48,33543795435.3,21020284475.1,2012-03-30,0.0
523,600018.XSHG,16.3696,1.4558,65990020985.0,7.7675,11.707,88583421403.7,0.2131,21778857219.1,15029003415.5,2012-03-30,0.0
524,600019.XSHG,45.0291,0.7844,83532469380.0,2.96,6.0051,210235683181.0,0.36,167324609438.0,159509674906.0,2012-03-30,0.0
525,600021.XSHG,13.7082,1.7085,10056774508.0,2.0875,7.955,32870203988.8,0.2165,17376288190.1,17431749054.3,2012-03-30,0.0
526,600031.XSHG,7.9756,4.7387,93174774301.0,22.6237,55.7759,124322481393.0,1.14,50776301000.0,41001672000.0,2012-03-30,0.0
527,600038.XSHG,59.1548,3.9284,5913745500.0,3.7127,7.4835,7549225321.68,0.3255,2769433684.61,2647758976.67,2012-03-30,0.0
